date,covid_cases_m
24/02/2020,0
02/03/2020,0
09/03/2020,0
16/03/2020,0
23/03/2020,0
30/03/2020,0.1
06/04/2020,0.1
13/04/2020,0.2
20/04/2020,0.3
27/04/2020,0.4
04/05/2020,0.6
11/05/2020,0.7
18/05/2020,1
25/05/2020,1.3
01/06/2020,1.6
08/06/2020,2
15/06/2020,2.5
22/06/2020,3
29/06/2020,3.5
06/07/2020,4.1
13/07/2020,4.7
20/07/2020,5.2
27/07/2020,5.9
03/08/2020,6.6
10/08/2020,7.3
17/08/2020,8
24/08/2020,8.7
31/08/2020,9.4
07/09/2020,10
14/09/2020,10.6
21/09/2020,11.2
28/09/2020,11.8
05/10/2020,12.4
12/10/2020,13
19/10/2020,13.6
26/10/2020,14.3
02/11/2020,14.9
09/11/2020,15.5
16/11/2020,16.3
23/11/2020,17.1
30/11/2020,18.1
07/12/2020,19.1
14/12/2020,21
21/12/2020,22
28/12/2020,22.9
30/12/2020,23.2
