date,all_total,all_committed,all_paid
06/01/2020,30537153,6188476,24348677
13/01/2020,30702537,6188476,24514061
20/01/2020,30702537,6188476,24514061
27/01/2020,31128498,6188476,24940022
03/02/2020,41648625,15789976,25858649
10/02/2020,43909431,16110290,27799141
17/02/2020,44122865,16188057,27934808
24/02/2020,51810322,18256234,33554088
02/03/2020,74441987,37293518,37148469
09/03/2020,94504503,56244831,38259672
16/03/2020,203734752,147186083,56548669
23/03/2020,289140896,149999005,139141891
30/03/2020,357176421,171851586,185324835
06/04/2020,576296194,310500899,265795295
13/04/2020,809875153,449165057,360710096
20/04/2020,1004482924,581753189,422729735
27/04/2020,1182861272,649916587,532944685
04/05/2020,1435663524,818543527,617119997
11/05/2020,1559812647,884536786,675275861
18/05/2020,1673590912,945097470,728493442
25/05/2020,1891175420,989684758,901490662
01/06/2020,2089542870,1017320497,1072222373
08/06/2020,2359379965,1160545231,1198834734
15/06/2020,2488953547,1215130461,1273823086
22/06/2020,2766692916,1428990032,1337702884
29/06/2020,3076875186,1556095943,1520779243
06/07/2020,3238818281,1655252378,1583565903
13/07/2020,3411893653,1772496030,1639397623
20/07/2020,3638452345,1838484145,1799968200
27/07/2020,3790877488,1956010166,1834867322
03/08/2020,3881532013,2028384301,1853147712
10/08/2020,4122352622,2222828417,1899524205
17/08/2020,4169682935,2239526457,1930156478
24/08/2020,4240442202,2255404571,1985037631
31/08/2020,4299156624,2270438828,2028717796
07/09/2020,4393325937,2299085123,2094240814
14/09/2020,4575927504,2451809866,2124117638
21/09/2020,5194870552,2814974592,2379895960
28/09/2020,5220132536,2834424501,2385708035
05/10/2020,5361243972,2891691092,2469552880
12/10/2020,5496231726,2914677981,2581553745
19/10/2020,5515033581,2925660080,2589373501
26/10/2020,5549621304,2933195719,2616425585
02/11/2020,5576844060,2945282105,2631561955
09/11/2020,5683437001,2969000473,2714436528
16/11/2020,5704548423,2978764656,2725783767
23/11/2020,5796930782,3069705533,2727225249
30/11/2020,5838597084,3101617027,2736980057
07/12/2020,5876035109,3126884547,2749150562
14/12/2020,5884050376,3129990879,2754059497
21/12/2020,5896576124,3141966621,2754609503
28/12/2020,5898182786,3141966621,2756216165
30/12/2020,5898182786,3141966621,2756216165
